PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
;;;;;;
3L INTERNACIONAL, S.A.;;;;;;
3M ESPAÑA, S.L.;979,6;;;837,42;;
4 GASA, SL;;;;;;
A.RUBIO MALLAS METALICAS, S.L.;588,37;;;553,36;;
ACEROS SERECON S.L.;;;;;;
ACHA, HERRAM.DE PRECISION,S.L.;;;;;;
ADG CAMPINGAZ;549,17;;;;;
ADVISORY CHEMICAL ADHESI.,S.L.;;;;;;
AGENCIA INTERN.CCIO.S.L.;;;;;412,86;
AGHASA TURIS, S.A.;44,1;675,35;;29,83;668,91;
AGROCEL COMERCIALIZADORA,S.L.;;505,92;;;719,64;
AKZO NOBEL COATINGS, S.L.;;4412,64;;581,82;4768,10;
AKZO NOBEL COATINGS, S.L.;165,86;;;351,88;;
ALAMBRES TERUEL, S.L.;;;;67,84;;
ALBERO FORTE COMPOSITE, S.L.;;;;;;
ALTADEX, S.A.;14,86;;;69,81;;
ALTRAD PLETTAC IBERICA, S.L.;;;;247,85;;
ALTUNA HNOS., S.A.;;;;65,03;;
ALYCO TOOLS, S.A.;;5119,25;;;1266,11;
AMBRO-SOL SPRAY SPAIN, S.L.;;956,84;;;1664,40;
AMILIBIA Y DE LA IGLESIA, S.A.;;841,37;;;1960,65;
ANCARGAS, S.L.;;;;;;
ANHUI HONGYU PACKAGING CO.LTD;;;;429,39;;
AQUACRAFT INDUSTRY CO., LTD.;;;;98,75;;
ARREGUI BUZONES Y SISTEMAS,S.L;7,59;;;;15,42;
ASEIN COMERCIALIZACION 1983, S.L.;;200,36;;;678,28;
ASLAK MACHINES and TOOLS, SL;;47;;;193,62;
ASSOCIACIÓ COMARCAL URGELL D'AJUDA AL MINUSVÁLID;;;;;;
ASTIGARRAGA KIT LINE,S.L.;;;;;;
ASTURDINTEX COMERCIAL, S.L.;;;;;;
ATLANTIS INTERNACIONAL, SL;;;;;;
AUSAVIL 2, S.L.;;;;35,48;;
AYERBE INDUSTRIAL MOTORES,S.A.;;2513,35;;85,2;7119,10;
BARBOSA, S.L.U.;165,28;;;96,05;;
BARRACHINA INVER.Y SERV.,S.L.;;;;79,98;;
BELLOTA AGRISOLUTIONS, S.L.U.;;3965,02;;;8066,35;
BELLOTA HERRAMIENTAS,S.L.U.;240,70;18253,90;;402,26;21444,19;
BERLIN PACKAGING INDUSTRIAL IBERIA, S.L.U.;;;;149,84;;
BOJ OLANETA, S.L.U.;;;;35,94;;
BOMBAS METAL, S.L.;;;;;;
BRALO, S.A.;;891,32;;;984,94;
BROQUETAS, S.L.;;;;;;
BRUDER MANNESMANN WERK.,GMBH.;1,4;;;;;
BTV, S.L.;;;;;;
BUIANI, S.R.L.;;;;;;
CABLES Y ESLINGAS, S.L.;;2436,51;;;2381,28;
CADENAS CIRO, S.L.;382,58;;;369,77;;
CAMACHO, S.A.;349,24;;;118,38;;
CAÑIZOS FAURA, S.L;;;;;;
CARRIVAN EUROPA, S.L.;;;;;;
CATRAL GARDEN&HOME DEPOT, S.A.;;;;;211,84;
CELESA, S.A.;;;;;;
CENTRAL DE ENREJADOS, S.L.;242,98;;;235,92;;
CENTRO LOGISTICO DE SOLDADURA SL;;;;3544,27;;
CEVIK, S.A.;;253,45;;;806,55;
CHAVES BILBAO, SL;;19272,87;;;3394,45;
CLIMACITY, S.L.;;;;;;
CODIVEN, S.L.;;;;;;
COFAN LA MANCHA S.A;;;;;445,13;
COMERCIAL EINHELL SA;397,88;160;;;;
COMERCIAL QUIMICA MASSO,S.A.;;;;102,97;;
CORCHOS ALMEIDA S.L;;;;;;
CORDELERIA ARTIBEL, S.L.;;1526,5;;;353,5;
COREP LIGHTING;;;;;;
COVALDROPER, S.L.;;436,08;;62,56;333,32;
CRC INDUSTRIES EUROPE BV;;;;;;
CREARPLAST, S.L.;;;;;;
CROTTON, S.A.;;900,41;;;281,87;
CUALITYS RODES, S.A.;;;;;;
CV TOOLS, S.L.;;1143,00;;;1890,14;
DANTHERM GROUP SP, S.A.U.;;4837,57;;;7786,75;
DCU ADVANCE TECNOLOGIC, S.L.;;;;;;
DELTA PLUS, S.A.;;;;42,14;;
DIADORA,  S.P.A.;;148,5;;;160;
DIFUSORA ART.MECAN.ESPEC.,S.A.;25,4;1549,11;;187,5;1744,23;
DISBUR, S.A.;;;;41,9;;
DIUTIL, S.L.;;;;;;
DOM-MCM, SA;575,98;;;654,03;;
ELECTRODOMESTICOS DIVELSA,S.A.;;;9,5;;;503,95
ELECTRODOMESTICOS TAURUS, S.L.;;;;;;
ELEKTRO 3, S.C.C.L.;755,11;;;303,63;;
EMBALAJES LIMART SL;356,48;1281,6;;633,21;1505,88;
ESPIROFLEX, S.A.;384,73;;;993,96;;
ESSELTE, S.A.;26,1;;;149,06;;
ESSITY SPAIN, S.L. U;5126,88;;;7930,19;;
ESTAMPACIONES EBRO, S.L.;;1928,18;;;2473,26;
ESTANTERIAS JOMASI, S.L.;;;;111,51;;
ESTANTERIAS SIMON, S.L.;;1871,79;;75,38;7228,63;
EURO BOTTARI 2002, S.L.;89,70;;;83,77;;
EUROWELD LOGICTIC, S.A.;;;;;;
FAB.UTILES Y HERRAMT.NUSAC,S.L;81,18;;;470,73;;
FABRIC.MATERIAL ELECTRICO,S.A.;;2739,90;;;2017,06;
FABRICANTES MENAJE, S.A.;150,33;;;80,91;;
FAHER HERRAMIENTA INDUSTRIºAL S.L.U;;;;;4793,97;
FAHERMA, S.L.;;2712,02;;;158,83;
FECIN CEPILLERIA INDUSTL,S.L.;;634,89;;;169,7;
FEGEMU SB, S.L;;1213,19;;75,42;1803,80;
FERMAR, S.A;;;;;;
FERON EUROPE GROUP, SL;;;;;;
FERVE, S.A.;;;;457,95;;
FIJACIONES NORMA, S.A.U.;;102,9;;;;
FISCHER IBERICA, S.A.U.;22,55;2320,50;;;2460,06;
FITT ESPAÑA PORTUGAL, S.A.U.;2728,73;;;;3457,29;
FLORES CORTES DON BENITO, S.L.;;1143,24;;216,44;647,7;
FOILFIX, SL;4931,77;;;50,4;2790,78;
FREIXER Y COLLELL, S.A.;;;;;;
FUN AND GO 2035, SL;;;;;;
GALA GAR, S.L.;;;;;;
GARCIMA, S.L.;19,17;;;265,25;;
GARHE, S.A.;;;;;;
GENERAL DE MEDICION, S.L.;;938,84;;23,62;311,18;
GENSINI S.R.L.;;;;;;
GERIMPORT, S.L.;;;;;;
GERMANS BOADA, S.A.;;1367,88;;29,5;1018,44;
GOIZPER S.COOP.;;1150,11;;;2676,21;
GOLDEN DAY INDUSTRY;;;;73,3;;
GROUPE SEB IBERICA, S.A.;;;;;;
GRUPODESA FASTENERS, S.A.U.;;1879,44;;;2673,49;
GUANGZHOU TOPMAX ENT., LTD.;84,89;;;;;
HAGEBAU GMBH & CO. KG;;;;;;
HENKEL IBERICA ,S.A.;;;;91,61;;
HENKEL IBERICA, S.A. INDUSTRIA;776,19;;;;;
HEPYC MANUFACTURING, S.A.U;;3105,55;;;3621,75;
HERTER INSTRUMENTS, S.L.;;;;;;
HEZE JINZHIYU WEB IND.CO.LTD.;;;;40,86;;
HILOS Y CUERDAS DEL SEGURA, SL;;;;140,86;;
HOZELOCK - EXEL SAS;280,06;;;231,73;;
HUSQVARNA ESPAÑA, S.A;87,76;;;;;
HUSQVARNA ESPAÑA, S.A.;;1785;;;;
IBERIA AGUA, S.L.;288;;;326,85;;
IFAM SEGURIDAD, S.L.U.;;1110,25;;;706,38;
IMCOINSA 1985, S.L.;;;;;;
IMEX EL ZORRO, S.L.;140,67;;;54,11;;
IMPEX EUROPA, S.L.;168,56;;;168,56;;
INASIA GROUP LIMITED;;;;;;
IND STARTER ESPAÑA,  S.L.U;;;;84,76;;
IND. QUIM. CUADRADO, S.A.;161,89;;;220,45;;
INDUAL MOBILIARIO, S.L.;;;;;;
INDUSTRIAL PRECISION TOOLS, SL;83,2;1423,19;;55,46;1082,16;
INDUSTRIAL ZAPATERA,S.A.;487,57;;;365,06;;
INDUSTRIAS AZKOIN, S.L.;;;;;;
INDUSTRIAS FER, S.L.U;;;;;;
INDUSTRIAS IRIS, S.A.;;;;;;
