PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
;;;;;;
3M ESPAÑA, S.L.;1937,37;;;1558,69;;
4 GASA, SL;;;;2,01;;
A.RUBIO MALLAS METALICAS, S.L.;588,37;;;1468,60;;
ACHA, HERRAM.DE PRECISION,S.L.;28,6;;;83,11;;
ADG CAMPINGAZ;549,17;;;35,15;;
AGENCIA INTERN.CCIO.S.L.;;;;;688,16;
AGHASA TURIS, S.A.;122,56;2500,18;;445,17;1430,09;
AGROCEL COMERCIALIZADORA,S.L.;;1217,38;;;1233,62;
AKZO NOBEL COATINGS, S.L.;;7972,07;;1113,28;6249,56;
AKZO NOBEL COATINGS, S.L.;737,92;;;568,42;;
ALAMBRES TERUEL, S.L.;105,83;;;240,70;;
ALTADEX, S.A.;14,86;;;103,24;;
ALTRAD PLETTAC IBERICA, S.L.;;117,9;;495,70;;
ALTUNA HNOS., S.A.;;;;65,03;;
ALYCO TOOLS, S.A.;;7155,63;;;3001,29;
AMBRO-SOL SPRAY SPAIN, S.L.;;2251,27;;;3387,55;
AMILIBIA Y DE LA IGLESIA, S.A.;;1365,17;;123,53;2762,12;
ANCARGAS, S.L.;;;;151,90;;
ANHUI HONGYU PACKAGING CO.LTD;;;;1962,97;;
AQUACRAFT INDUSTRY CO., LTD.;;;;139,90;;
ARREGUI BUZONES Y SISTEMAS,S.L;67,98;;;28,96;15,42;
ASEIN COMERCIALIZACION 1983, S.L.;;200,36;;;1216,10;
ASLAK MACHINES and TOOLS, SL;;551,5;;;682,62;
ASSOCIACIÓ COMARCAL URGELL D'AJUDA AL MINUSVÁLID;;;;;;
ASTIGARRAGA KIT LINE,S.L.;81,37;;;108,5;;
ASTURDINTEX COMERCIAL, S.L.;;;;;;
ATLANTIS INTERNACIONAL, SL;;;;;;
AUSAVIL 2, S.L.;8,79;56,78;;629,53;;
AYERBE INDUSTRIAL MOTORES,S.A.;;9467,59;;85,2;13934,16;
BARBOSA, S.L.U.;400,78;;;341,85;;
BARRACHINA INVER.Y SERV.,S.L.;;;;79,98;;
BELLOTA AGRISOLUTIONS, S.L.U.;;7808,89;;;16672,31;
BELLOTA HERRAMIENTAS,S.L.U.;414,53;32666,87;;1089,79;45525,29;
BERLIN PACKAGING INDUSTRIAL IBERIA, S.L.U.;8,31;;;261,41;;
BOJ OLANETA, S.L.U.;;;;35,94;;
BOSTIK, S.A.;73,22;;;;;
BRALO, S.A.;;2422,32;;;2062,91;
BRINOX, S.A.;25,38;;;;;
BROQUETAS, S.L.;48,64;;;;;
BRUDER MANNESMANN WERK.,GMBH.;1,4;;;;;
BTV, S.L.;;;;15,14;64,14;
BUENO HERMANOS, S.A.;;;109,21;;;
BUIANI, S.R.L.;;;;94,05;;
CABLES RCT,  S.A.U;168,06;;;;;
CABLES Y ESLINGAS, S.L.;;5092,38;;260,77;5553,07;
CADENAS CIRO, S.L.;382,58;;;695,35;;
CAMACHO, S.A.;475,29;;;364,92;;
CATRAL GARDEN&HOME DEPOT, S.A.;;2575,37;;;211,84;
CELESA, S.A.;;;;;;
CENTRAL DE ENREJADOS, S.L.;242,98;;;463,71;;
CENTRO LOGISTICO DE SOLDADURA SL;;;;6862,10;;
CEVIK, S.A.;122,48;648,09;;;2089,05;
CHAVES BILBAO, SL;387,64;31618,56;;;14898,37;
CLIMACITY, S.L.;;;;;;
CODIVEN, S.L.;;;;167,70;;
COFAN LA MANCHA S.A;;;;;629,13;
COMERCIAL EINHELL SA;654,56;552;;;1494,65;
COMERCIAL QUIMICA MASSO,S.A.;;;;102,97;;
CORCHOS ALMEIDA S.L;;;;;;
CORDELERIA ARTIBEL, S.L.;;1526,5;;;353,5;
COREP LIGHTING;;;;31,16;;
COVALDROPER, S.L.;;687,84;;62,56;880,02;
CREARPLAST, S.L.;;;;;;
CROTTON, S.A.;56,28;900,41;;;533,83;
CUALITYS RODES, S.A.;;;;;;
CV TOOLS, S.L.;;6887,61;;;6818,87;
DANTHERM GROUP SP, S.A.U.;;4837,57;;;10648,09;
DCU ADVANCE TECNOLOGIC, S.L.;11,73;;;23,45;;
DELTA PLUS, S.A.;;;;42,14;;
DIADORA,  S.P.A.;;193,5;;;352;
DIFUSORA ART.MECAN.ESPEC.,S.A.;166,8;7508,07;;311,15;10118,48;
DISBUR, S.A.;195,55;;;76,82;;
DOM-MCM, SA;575,98;;;776,50;;
ELECTRODOMESTICOS DIVELSA,S.A.;;;240,52;;;1033,84
ELECTRODOMESTICOS TAURUS, S.L.;;;;;;
ELEKTRO 3, S.C.C.L.;1195,05;;;807,49;;
EMBALAJES LIMART SL;443,86;3143,6;;939,16;1505,88;
ESPIROFLEX, S.A.;477,18;643,2;;1896,22;237,69;
ESSELTE, S.A.;533,91;;;625,93;;
ESSITY SPAIN, S.L. U;11949,18;;;13163,34;;
ESTAMPACIONES EBRO, S.L.;29,21;3006,40;;;4382,93;
ESTANTERIAS JOMASI, S.L.;;;;111,51;;
ESTANTERIAS SIMON, S.L.;;5082,85;;75,38;11223,96;
EURO BOTTARI 2002, S.L.;179,40;;;135,16;;
FAB.UTILES Y HERRAMT.NUSAC,S.L;243,55;;;732,75;;
FABRIC.MATERIAL ELECTRICO,S.A.;;4826,32;;;4985,59;
FABRICADOS INOXIDABLES,SA;15,81;;;;;
FABRICANTES MENAJE, S.A.;188,08;;;118,66;;
FAHER HERRAMIENTA INDUSTRIºAL S.L.U;;;;;6609,70;
FAHERMA, S.L.;;4416,88;;;158,83;
FARAONE IBERICA, S.L.;;514,55;;;;
FAREN INDUSTRIAS QUIMICAS, SAU;16,48;;;;;
FECIN CEPILLERIA INDUSTL,S.L.;;734,38;;;660,50;
FEGEMU SB, S.L;173,26;1762,56;;75,42;2995,44;
FERMAR, S.A;;;;;;
FERON EUROPE GROUP, SL;;;;;;
FERVE, S.A.;;244,81;;457,95;1137,31;
FIJACIONES NORMA, S.A.U.;;102,9;;;;
FISCHER IBERICA, S.A.U.;191,00;2320,50;;118,39;5244,25;
FITT ESPAÑA PORTUGAL, S.A.U.;2879,15;1129,31;;1991,48;4243,07;
FLORES CORTES DON BENITO, S.L.;94,55;1143,24;;663,74;741,16;
FOILFIX, SL;8905,93;1645,92;;86,47;4576,58;
FORES BRICO, S.L.U.;64,82;;;;;
FREIXER Y COLLELL, S.A.;;;;13,39;;
FUN AND GO 2035, SL;118,16;;;144,50;;
GALA GAR, S.L.;;;;;;
GARCIMA, S.L.;499,53;;;1516,51;;
GARHE, S.A.;;;;;;
GENERAL DE MEDICION, S.L.;9,32;1696,18;;103,88;760,90;
GERIMPORT, S.L.;;;;;;
GERMANS BOADA, S.A.;;2231,48;;112,02;2550,02;
GOIZPER S.COOP.;;6177,58;;16,24;6402,53;
GOLDEN DAY INDUSTRY;;;;73,3;;
GROUPE SEB IBERICA, S.A.;;;;77,88;;
GRUPODESA FASTENERS, S.A.U.;;3229,11;;;6591,86;
GUANGZHOU TOPMAX ENT., LTD.;378,07;;;169,64;;
HENKEL IBERICA ,S.A.;;;;159,42;;
HENKEL IBERICA, S.A. INDUSTRIA;3043,33;;;520,06;;269,3
HEPYC MANUFACTURING, S.A.U;;6970,06;;;6943,22;
HERTER INSTRUMENTS, S.L.;;;;9,34;;
HEZE JINZHIYU WEB IND.CO.LTD.;35,12;;;134,87;;
HIDROBEX, S.L.;111,58;;;;;
HILOS Y CUERDAS DEL SEGURA, SL;;;;566,14;;
HOZELOCK - EXEL SAS;733,30;;;302,30;;
HUSQVARNA ESPAÑA, S.A;87,76;;;;;
HUSQVARNA ESPAÑA, S.A.;;7644,71;;;525,80;
IBERIA AGUA, S.L.;459;;;595,35;;
IFAM SEGURIDAD, S.L.U.;;2111,37;;;2744,32;
IMEX EL ZORRO, S.L.;228,59;;;159,61;;
IMPEX EUROPA, S.L.;400,33;;;337,12;;
IND STARTER ESPAÑA,  S.L.U;;;;214,14;;
IND. METALIC. CASINENSES, S.L.;;25,6;;;;
IND. QUIM. CUADRADO, S.A.;605,23;;;518,44;;
INDUAL MOBILIARIO, S.L.;;;;;;
INDUSTRIAL PRECISION TOOLS, SL;111,19;3105,82;;110,92;1515,02;
INDUSTRIAL ZAPATERA,S.A.;1194,84;;;661,31;;
INDUSTRIAS AZKOIN, S.L.;;;;105,15;;
INDUSTRIAS FER, S.L.U;;;;;;
INDUSTRIAS IRIS, S.A.;;;;;;
INDUSTRIAS LOTU, S.A.;;;;;;
INDUSTRIAS MURTRA, S.A.;;920,93;;;3231,82;
INDUSTRIAS SAMART, S.A.;;150;;;1805,02;
INDUSTRIAS TAYG, S.L.;362,60;3973,52;;3218,58;1153,54;
INNOV8 IBERIA, SL;;;;9,68;;
INTERMAS NETS, SA;;;;;;
IREGA, S.A;;74,87;;;192,97;
ISOGONA, S.L.;;;;;;
ITEM INTERNACIONAL, S.A.;;;;;;
IZAR CUTTING TOOLS, S.A.L.;;29,92;;;;
JAIME GARCIA MOLL, S.L.;34,13;;;;;
JAZ-ZUBIAURRE, S.A.;;59,55;;;107,45;
JCOPLASTIC IBERICA 2000, S.L.;86,19;;;258,57;;
JMA ALEJANDRO ALTUNA, S.L.;146,09;;;392,28;;
JUBA PERSONAL PROT.EQUIP.,S.L;;18553,33;;78,28;11074,07;
KARCHER, S.A.;153,86;;;;;
KB8 IBERICA, SLU;70,54;;;;;
KELNO HK LIMITED;1002,34;;;862,95;;
KERKOM 360, S.A;8,18;;;38,54;;
KETER IBERIA, S.L.U.;231,49;;;;;
KNIPEX-WERK;2700,70;;;4029,00;;
KOOPMAN INTERNATIONAL, B.V.;;;;;;
KOVYX OUTDOOR, S.L.;;;;8,32;;
KRAFFT, S.L. (Unipersonal);256,86;34431,11;;684,91;37441,47;
KRIPXE. S.A.;;1350,54;;;2674,41;
LABORATORIOS RAYT, S.A.;299,54;;;249,49;;
