PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
;;;;;;
3L INTERNACIONAL, S.A.;;;;;;
3M ESPAÑA, S.L.;96,8;;;456,49;;
4 GASA, SL;;;;;;
A.RUBIO MALLAS METALICAS, S.L.;326,87;;;161,12;;
ACEROS SERECON S.L.;;;;;;
ACHA, HERRAM.DE PRECISION,S.L.;;;;;;
ADG CAMPINGAZ;;;;;;
ADVISORY CHEMICAL ADHESI.,S.L.;;;;;;
AGENCIA INTERN.CCIO.S.L.;;;;;412,86;
AGHASA TURIS, S.A.;;;;;;
AGROCEL COMERCIALIZADORA,S.L.;;505,92;;;507,95;
AKZO NOBEL COATINGS, S.L.;;4261,46;;433,74;2697,97;
AKZO NOBEL COATINGS, S.L.;52,07;;;135,34;;
ALAMBRES TERUEL, S.L.;;;;67,84;;
ALBERO FORTE COMPOSITE, S.L.;;;;;;
ALTADEX, S.A.;;;;;;
ALTRAD PLETTAC IBERICA, S.L.;;;;;;
ALTUNA HNOS., S.A.;;;;;;
ALYCO TOOLS, S.A.;;2393,97;;;1266,11;
AMBRO-SOL SPRAY SPAIN, S.L.;;314,67;;;1344,37;
AMILIBIA Y DE LA IGLESIA, S.A.;;;;;1337,1;
ANCARGAS, S.L.;;;;;;
ANHUI HONGYU PACKAGING CO.LTD;;;;429,39;;
AQUACRAFT INDUSTRY CO., LTD.;;;;;;
ARREGUI BUZONES Y SISTEMAS,S.L;;;;;;
ASEIN COMERCIALIZACION 1983, S.L.;;265,67;;;273,92;
ASLAK MACHINES and TOOLS, SL;;;;;;
ASSOCIACIÓ COMARCAL URGELL D'AJUDA AL MINUSVÁLID;;;;;;
ASTIGARRAGA KIT LINE,S.L.;;;;;;
ASTURDINTEX COMERCIAL, S.L.;;;;;;
ATLANTIS INTERNACIONAL, SL;;;;;;
AUSAVIL 2, S.L.;;;;;;
AYERBE INDUSTRIAL MOTORES,S.A.;;2447,73;;85,2;5005,73;
BARBOSA, S.L.U.;45,6;;;96,05;;
BARRACHINA INVER.Y SERV.,S.L.;;;;;;
BELLOTA AGRISOLUTIONS, S.L.U.;;3865,92;;;4855,18;
BELLOTA HERRAMIENTAS,S.L.U.;68,94;5655,72;;103,67;18055,68;
BERLIN PACKAGING INDUSTRIAL IBERIA, S.L.U.;;;;149,84;;
BOJ OLANETA, S.L.U.;;;;;;
BOMBAS METAL, S.L.;;;;;;
BRALO, S.A.;;329,7;;;197;
BROQUETAS, S.L.;;;;;;
BRUDER MANNESMANN WERK.,GMBH.;;;;;;
BSH ELECTRODOMEST.ESPAÑA, S.A.;;;;;;
BTV, S.L.;;;;;;
BUIANI, S.R.L.;;;;;;
CABLES Y ESLINGAS, S.L.;;783,51;;;479,8;
CADENAS CIRO, S.L.;382,58;;;;;
CAMACHO, S.A.;;;;;;
CAÑIZOS FAURA, S.L;;;;;;
CARRIVAN EUROPA, S.L.;;;;;;
CATRAL GARDEN&HOME DEPOT, S.A.;;;;;;
CENTRAL DE ENREJADOS, S.L.;;;;235,92;;
CENTRO LOGISTICO DE SOLDADURA SL;;;;2128,32;;
CEVIK, S.A.;;253,45;;;806,55;
CHAVES BILBAO, SL;;1795,61;;;1402,21;
CLIMACITY, S.L.;;;;;;
CODIVEN, S.L.;;;;;;
COFAN LA MANCHA S.A;;;;;;
COMERCIAL EINHELL SA;46,76;;;;;
COMERCIAL QUIMICA MASSO,S.A.;;;;;;
CORCHOS ALMEIDA S.L;;;;;;
CORDELERIA ARTIBEL, S.L.;;493;;;4161,5;
COREP LIGHTING;;;;;;
COVALDROPER, S.L.;;173,28;;62,56;;
CRC INDUSTRIES EUROPE BV;;;;;;
CREARPLAST, S.L.;;;;;;
CROTTON, S.A.;;637,01;;;181,22;
CUALITYS RODES, S.A.;;;;;;
CV TOOLS, S.L.;;260,85;;;1559,12;
DANTHERM GROUP SP, S.A.U.;;4773,77;;;6040,56;
DCU ADVANCE TECNOLOGIC, S.L.;;;;;;
DELTA PLUS, S.A.;;;;42,14;;
DIADORA,  S.P.A.;;148,5;;;160;
DIFUSORA ART.MECAN.ESPEC.,S.A.;;132,04;;187,5;1135,47;
DISBUR, S.A.;;;;41,9;;
DIUTIL, S.L.;;;;;;
DOM-MCM, SA;;;;623,41;;
ELECTRODOMESTICOS DIVELSA,S.A.;;;9,5;;;475,76
ELECTRODOMESTICOS TAURUS, S.L.;;;;;;
ELEKTRO 3, S.C.C.L.;323,62;;;303,63;;
EMBALAJES LIMART SL;;1281,6;;123,63;;
ESPIROFLEX, S.A.;48,77;;;509,15;;
ESSELTE, S.A.;;;;138,05;;
ESSITY SPAIN, S.L. U;2346,22;;;4406,39;;
ESTAMPACIONES EBRO, S.L.;;829,96;;;958,29;
ESTANTERIAS JOMASI, S.L.;;;;111,51;;
ESTANTERIAS SIMON, S.L.;;433,07;;75,38;5214,16;
EURO BOTTARI 2002, S.L.;56,06;;;;;
EUROWELD LOGICTIC, S.A.;;;;;;
FAB.UTILES Y HERRAMT.NUSAC,S.L;;;;288,07;;
FABRIC.MATERIAL ELECTRICO,S.A.;;1937,76;;;1362,36;
FABRICANTES MENAJE, S.A.;;;;;;
FAHER HERRAMIENTA INDUSTRIºAL S.L.U;;;;;1583,05;
FAHERMA, S.L.;;2178,27;;;158,83;
FECIN CEPILLERIA INDUSTL,S.L.;;383,8;;;;
FEGEMU SB, S.L;;581,71;;;564,01;
FERMAR, S.A;;;;;;
FERON EUROPE GROUP, SL;;;;;;
FERVE, S.A.;;;;457,95;;
FIJACIONES NORMA, S.A.U.;;102,9;;;;
FISCHER IBERICA, S.A.U.;22,55;1286,61;;;2224,97;
FITT ESPAÑA PORTUGAL, S.A.U.;;;;;3457,29;
FLORES CORTES DON BENITO, S.L.;;51;;84,45;647,7;
FOILFIX, SL;2365,85;;;;1389,8;
FREIXER Y COLLELL, S.A.;;;;;;
FUN AND GO 2035, SL;;;;;;
GALA GAR, S.L.;;;;;;
GARCIMA, S.L.;;;;;;
GARHE, S.A.;;;;;;
GENERAL DE MEDICION, S.L.;;529,56;;23,62;;
GENSINI S.R.L.;;;;;;
GERIMPORT, S.L.;;;;;;
GERMANS BOADA, S.A.;;;;;962,20;
GOIZPER S.COOP.;;1150,11;;;528,25;
GOLDEN DAY INDUSTRY;;;;;;
GROUPE SEB IBERICA, S.A.;;;;;;
GRUPODESA FASTENERS, S.A.U.;;918,36;;;2673,49;
GUANGZHOU TOPMAX ENT., LTD.;;;;;;
HAGEBAU GMBH & CO. KG;;;;;;
HENKEL IBERICA ,S.A.;;;;;;
HENKEL IBERICA, S.A. INDUSTRIA;579,8;;;;;
HEPYC MANUFACTURING, S.A.U;;1131,67;;;2011,54;
HERTER INSTRUMENTS, S.L.;;;;;;
HEZE JINZHIYU WEB IND.CO.LTD.;;;;40,86;;
HILOS Y CUERDAS DEL SEGURA, SL;;;;129,91;;
HOZELOCK - EXEL SAS;;;;;;
HUSQVARNA ESPAÑA, S.A.;;1785;;;;
IBERIA AGUA, S.L.;;;;238,35;;
IFAM SEGURIDAD, S.L.U.;;882,48;;;536,29;
IMCOINSA 1985, S.L.;;;;;;
IMEX EL ZORRO, S.L.;;;;;;
IMPEX EUROPA, S.L.;168,56;;;168,56;;
INASIA GROUP LIMITED;;;;;;
IND STARTER ESPAÑA,  S.L.U;;;;42,38;;
IND. QUIM. CUADRADO, S.A.;;;;42,17;;
INDUAL MOBILIARIO, S.L.;;;;;;
INDUSTRIAL PRECISION TOOLS, SL;41,6;101,46;;27,73;541,08;
INDUSTRIAL ZAPATERA,S.A.;197,51;;;35,20;;
INDUSTRIAS AZKOIN, S.L.;;;;;;
INDUSTRIAS FER, S.L.U;;;;;;
INDUSTRIAS IRIS, S.A.;;;;;;
INDUSTRIAS LOTU, S.A.;;;;;;
INDUSTRIAS MURTRA, S.A.;;513,24;;;1057,52;
INDUSTRIAS SAMART, S.A.;;150;;;;
INDUSTRIAS TAYG, S.L.;78,38;563,24;;458,45;497,56;
INDUSTRIAS TITAN, S.A.;;;;;;
INNOV8 IBERIA, SL;;;;;;
INTERMAS NETS, SA;;;;;;
