PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
;;;;;;
3L INTERNACIONAL, S.A.;;;;;;
3M ESPAÑA, S.L.;;;;;;
4 GASA, SL;;;;;;
A.RUBIO MALLAS METALICAS, S.L.;;;;;;
ACEROS SERECON S.L.;;;;;;
ACHA, HERRAM.DE PRECISION,S.L.;;;;;;
ADG CAMPINGAZ;;;;;;
ADVISORY CHEMICAL ADHESI.,S.L.;;;;;;
AGENCIA INTERN.CCIO.S.L.;;;;;;
AGHASA TURIS, S.A.;;;;;;
AGROCEL COMERCIALIZADORA,S.L.;;;;;261,86;
AKZO NOBEL COATINGS, S.L.;;2728,33;;198,24;2723,39;
AKZO NOBEL COATINGS, S.L.;;;;81,2;;
ALAMBRES TERUEL, S.L.;;;;67,84;;
ALBERO FORTE COMPOSITE, S.L.;;;;;;
ALTADEX, S.A.;;;;;;
ALTRAD PLETTAC IBERICA, S.L.;;;;;;
ALTUNA HNOS., S.A.;;;;;;
ALYCO TOOLS, S.A.;;1566,67;;;;
AMBRO-SOL SPRAY SPAIN, S.L.;;314,67;;;441,75;
AMILIBIA Y DE LA IGLESIA, S.A.;;;;;300,5;
ANCARGAS, S.L.;;;;;;
ANHUI HONGYU PACKAGING CO.LTD;;;;;;
AQUACRAFT INDUSTRY CO., LTD.;;;;;;
ARREGUI BUZONES Y SISTEMAS,S.L;;;;;;
ASEIN COMERCIALIZACION 1983, S.L.;;265,67;;;273,92;
ASLAK MACHINES and TOOLS, SL;;;;;;
ASSOCIACIÓ COMARCAL URGELL D'AJUDA AL MINUSVÁLID;;;;;;
ASTIGARRAGA KIT LINE,S.L.;;;;;;
ASTURDINTEX COMERCIAL, S.L.;;;;;;
ATLANTIS INTERNACIONAL, SL;;;;;;
AUDIX BITEE S,L;;;;;;
AUSAVIL 2, S.L.;;;;;;
AYERBE INDUSTRIAL MOTORES,S.A.;;2141,85;;;2256,82;
BARBOSA, S.L.U.;;;;;;
BARRACHINA INVER.Y SERV.,S.L.;;;;;;
BELLOTA AGRISOLUTIONS, S.L.U.;;;;;2548,38;
BELLOTA HERRAMIENTAS,S.L.U.;68,94;5136,95;;10,09;8943,25;
BERLIN PACKAGING INDUSTRIAL IBERIA, S.L.U.;;;;7,28;;
BOJ OLANETA, S.L.U.;;;;;;
BOMBAS METAL, S.L.;;;;;;
BRALO, S.A.;;;;;;
BROQUETAS, S.L.;;;;;;
BRUDER MANNESMANN WERK.,GMBH.;;;;;;
BSH ELECTRODOMEST.ESPAÑA, S.A.;;;;;;
BTV, S.L.;;;;;;
BUIANI, S.R.L.;;;;;;
CABLES Y ESLINGAS, S.L.;;;;;;
CADENAS CIRO, S.L.;;;;;;
CAMACHO, S.A.;;;;;;
CAÑIZOS FAURA, S.L;;;;;;
CARRIVAN EUROPA, S.L.;;;;;;
CATRAL GARDEN&HOME DEPOT, S.A.;;;;;;
CENTRAL DE ENREJADOS, S.L.;;;;235,92;;
CENTRO LOGISTICO DE SOLDADURA SL;;;;1786,54;;
CEVIK, S.A.;;253,45;;;;
CHAVES BILBAO, SL;;1228,71;;;836,95;
CLIMACITY, S.L.;;;;;;
CODIVEN, S.L.;;;;;;
COFAN LA MANCHA S.A;;;;;;
COMERCIAL EINHELL SA;46,76;;;;33;
COMERCIAL QUIMICA MASSO,S.A.;;;;;;
CORCHOS ALMEIDA S.L;;;;;;
CORDELERIA ARTIBEL, S.L.;;;;;;
COREP LIGHTING;;;;;;
COVALDROPER, S.L.;;173,28;;62,56;;
CRC INDUSTRIES EUROPE BV;;;;;;
CREARPLAST, S.L.;;;;;;
CROTTON, S.A.;;316,86;;;;
CUALITYS RODES, S.A.;;;;;;
CV TOOLS, S.L.;;16,8;;;788,62;
DANTHERM GROUP SP, S.A.U.;;3935,09;;;2512,85;
DCU ADVANCE TECNOLOGIC, S.L.;;;;;;
DELTA PLUS, S.A.;;;;42,14;;
DIADORA,  S.P.A.;;148,5;;;67;
DIFUSORA ART.MECAN.ESPEC.,S.A.;;;;;677,04;
DISBUR, S.A.;;;;;;
DIUTIL, S.L.;;;;;;
DOM-MCM, SA;;;;623,41;;
ELECTRODOMESTICOS DIVELSA,S.A.;;;9,5;;;475,76
ELECTRODOMESTICOS TAURUS, S.L.;;;;;;
ELEKTRO 3, S.C.C.L.;143,83;;;;;
EMBALAJES LIMART SL;;;;123,63;;
ESPIROFLEX, S.A.;48,77;;;330,9;;
ESSELTE, S.A.;;;;138,05;;
ESSITY SPAIN, S.L. U;1627,78;;;2048,3;;
ESTAMPACIONES EBRO, S.L.;;;;;958,29;
ESTANTERIAS JOMASI, S.L.;;;;;;
ESTANTERIAS SIMON, S.L.;;;;;5214,16;
EURO BOTTARI 2002, S.L.;56,06;;;;;
EUROWELD LOGICTIC, S.A.;;;;;;
FAB.UTILES Y HERRAMT.NUSAC,S.L;;;;101,48;;
FABRIC.MATERIAL ELECTRICO,S.A.;;;;;1362,36;
FABRICANTES MENAJE, S.A.;;;;;;
FAHER HERRAMIENTA INDUSTRIºAL S.L.U;;;;;;
FAHERMA, S.L.;;;;;158,83;
FAT SOLUCIONES DE CORTE, S.L.U.;;;;;;
FECIN CEPILLERIA INDUSTL,S.L.;;;;;;
FEGEMU SB, S.L;;145,07;;;564,01;
FERMAR, S.A;;;;;;
FERON EUROPE GROUP, SL;;;;;;
FERVE, S.A.;;;;;;
FISCHER IBERICA, S.A.U.;22,55;;;;712,62;
FITT ESPAÑA PORTUGAL, S.A.U.;;;;;;
FLORES CORTES DON BENITO, S.L.;;51;;;;
FOILFIX, SL;1117,87;;;;;
FREIXER Y COLLELL, S.A.;;;;;;
FUN AND GO 2035, SL;;;;;;
GALA GAR, S.L.;;;;;;
GARCIMA, S.L.;;;;;;
GARHE, S.A.;;;;;;
GENERAL DE MEDICION, S.L.;;529,56;;;;
GENSINI S.R.L.;;;;;;
GERIMPORT, S.L.;;;;;;
GERMANS BOADA, S.A.;;;;;401,04;
GOIZPER S.COOP.;;1150,11;;;;
GOLDEN DAY INDUSTRY;;;;;;
GROUPE SEB IBERICA, S.A.;;;;;;
GRUPODESA FASTENERS, S.A.U.;;;;;1274,12;
GUANGZHOU TOPMAX ENT., LTD.;;;;;;
HAGEBAU GMBH & CO. KG;;;;;;
HENKEL IBERICA ,S.A.;;;;;;
HENKEL IBERICA, S.A. INDUSTRIA;;;;;;
HEPYC MANUFACTURING, S.A.U;;1121,26;;;1213,79;
HERTER INSTRUMENTS, S.L.;;;;;;
HEZE JINZHIYU WEB IND.CO.LTD.;;;;40,86;;
HILOS Y CUERDAS DEL SEGURA, SL;;;;48,76;;
HOZELOCK - EXEL SAS;;;;;;
HUSQVARNA ESPAÑA, S.A.;;;;;;
IBERIA AGUA, S.L.;;;;50,1;;
IFAM SEGURIDAD, S.L.U.;;557,96;;;536,29;
IMCOINSA 1985, S.L.;;;;;;
IMEX EL ZORRO, S.L.;;;;;;
IMPEX EUROPA, S.L.;168,56;;;;;
INASIA GROUP LIMITED;;;;;;
IND STARTER ESPAÑA,  S.L.U;;;;;;
IND. QUIM. CUADRADO, S.A.;;;;;;
INDUAL MOBILIARIO, S.L.;;;;;;
INDUSTRIAL PRECISION TOOLS, SL;41,6;101,46;;27,73;;
INDUSTRIAL PRECISION TOOLS,S.L;;;;;;
INDUSTRIAL ZAPATERA,S.A.;164,59;;;31,94;;
INDUSTRIAS AZKOIN, S.L.;;;;;;
INDUSTRIAS CONESA, S.L.;;;;;;
INDUSTRIAS FER, S.L.U;;;;;;
INDUSTRIAS IRIS, S.A.;;;;;;
INDUSTRIAS LOTU, S.A.;;;;;;
INDUSTRIAS MURTRA, S.A.;;345,56;;;370,86;
INDUSTRIAS SAMART, S.A.;;150;;;;
INDUSTRIAS TAYG, S.L.;78,38;;;49,26;86,43;
INDUSTRIAS TITAN, S.A.;;;;;;
INNOV8 IBERIA, SL;;;;;;
INTERMAS NETS, SA;;;;;;
IREGA, S.A;;74,87;;;42,07;
ISOGONA, S.L.;;;;;;
ITEM INTERNACIONAL, S.A.;;;;;;
IZAR CUTTING TOOLS, S.A.L.;;;;;;
