PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
;;;;;;
3M ESPAÑA, S.L.;1797,64;;;1558,69;;
4 GASA, SL;;;;2,01;;
A.RUBIO MALLAS METALICAS, S.L.;588,37;;;1337,85;;
ACEROS SERECON S.L.;;;;;;
ACHA, HERRAM.DE PRECISION,S.L.;;;;38,36;;
ADG CAMPINGAZ;549,17;;;11,72;;
AGENCIA INTERN.CCIO.S.L.;;;;;520,16;
AGHASA TURIS, S.A.;73,52;2030,98;;262,21;1430,09;
AGROCEL COMERCIALIZADORA,S.L.;;1144,59;;;1182,00;
AKZO NOBEL COATINGS, S.L.;;5485,63;;1113,28;6249,56;
AKZO NOBEL COATINGS, S.L.;444,72;;;568,42;;
ALAMBRES TERUEL, S.L.;;;;240,70;;
ALTADEX, S.A.;14,86;;;88,04;;
ALTRAD PLETTAC IBERICA, S.L.;;;;495,70;;
ALTUNA HNOS., S.A.;;;;65,03;;
ALYCO TOOLS, S.A.;;6488,42;;;3001,29;
AMBRO-SOL SPRAY SPAIN, S.L.;;2251,27;;;2955,29;
AMILIBIA Y DE LA IGLESIA, S.A.;;975,67;;123,53;2536,50;
ANCARGAS, S.L.;;;;67,51;;
ANHUI HONGYU PACKAGING CO.LTD;;;;429,39;;
AQUACRAFT INDUSTRY CO., LTD.;;;;139,90;;
ARREGUI BUZONES Y SISTEMAS,S.L;67,98;;;28,96;15,42;
ASEIN COMERCIALIZACION 1983, S.L.;;200,36;;;1216,10;
ASLAK MACHINES and TOOLS, SL;;47;;;682,62;
ASSOCIACIÓ COMARCAL URGELL D'AJUDA AL MINUSVÁLID;;;;;;
ASTIGARRAGA KIT LINE,S.L.;81,37;;;108,5;;
ASTURDINTEX COMERCIAL, S.L.;;;;;;
ATLANTIS INTERNACIONAL, SL;;;;;;
AUSAVIL 2, S.L.;8,79;56,78;;629,53;;
AYERBE INDUSTRIAL MOTORES,S.A.;;8977,37;;85,2;11962,28;
BARBOSA, S.L.U.;330,53;;;319,05;;
BARRACHINA INVER.Y SERV.,S.L.;;;;79,98;;
BELLOTA AGRISOLUTIONS, S.L.U.;;7808,89;;;15027,94;
BELLOTA HERRAMIENTAS,S.L.U.;316,05;28532,68;;960,59;40858,90;
BERLIN PACKAGING INDUSTRIAL IBERIA, S.L.U.;8,31;;;261,41;;
BOJ OLANETA, S.L.U.;;;;35,94;;
