PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
;;;;;;
3M ESPAÑA, S.L.;1139,76;;;1391,85;;
4 GASA, SL;;;;2,01;;
A.RUBIO MALLAS METALICAS, S.L.;588,37;;;1010,98;;
ACEROS SERECON S.L.;;;;;;
ACHA, HERRAM.DE PRECISION,S.L.;;;;38,36;;
ADG CAMPINGAZ;549,17;;;;;
AGENCIA INTERN.CCIO.S.L.;;;;;520,16;
AGHASA TURIS, S.A.;73,52;2030,98;;262,21;1430,09;
AGROCEL COMERCIALIZADORA,S.L.;;1144,59;;;954,50;
AKZO NOBEL COATINGS, S.L.;;4412,64;;1113,28;4768,10;
AKZO NOBEL COATINGS, S.L.;444,72;;;568,42;;
ALAMBRES TERUEL, S.L.;;;;240,70;;
ALBERO FORTE COMPOSITE, S.L.;;;;;;
ALTADEX, S.A.;14,86;;;73,38;;
ALTRAD PLETTAC IBERICA, S.L.;;;;495,70;;
ALTUNA HNOS., S.A.;;;;65,03;;
ALYCO TOOLS, S.A.;;5826,41;;;2317,03;
AMBRO-SOL SPRAY SPAIN, S.L.;;1006,52;;;2389,70;
AMILIBIA Y DE LA IGLESIA, S.A.;;841,37;;111,94;2536,50;
ANCARGAS, S.L.;;;;;;
ANHUI HONGYU PACKAGING CO.LTD;;;;429,39;;
AQUACRAFT INDUSTRY CO., LTD.;;;;98,75;;
ARREGUI BUZONES Y SISTEMAS,S.L;67,98;;;18,95;15,42;
ASEIN COMERCIALIZACION 1983, S.L.;;200,36;;;1216,10;
ASLAK MACHINES and TOOLS, SL;;47;;;682,62;
ASSOCIACIÓ COMARCAL URGELL D'AJUDA AL MINUSVÁLID;;;;;;
ASTIGARRAGA KIT LINE,S.L.;;;;108,5;;
ASTURDINTEX COMERCIAL, S.L.;;;;;;
ATLANTIS INTERNACIONAL, SL;;;;;;
AUSAVIL 2, S.L.;;56,78;;629,53;;
