PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
;;;;;;
3L INTERNACIONAL, S.A.;;;;;;
3M ESPAÑA, S.L.;416,9;;;828,81;;
4 GASA, SL;;;;;;
A.RUBIO MALLAS METALICAS, S.L.;588,37;;;553,36;;
ACEROS SERECON S.L.;;;;;;
ACHA, HERRAM.DE PRECISION,S.L.;;;;;;
ADG CAMPINGAZ;390,93;;;;;
ADVISORY CHEMICAL ADHESI.,S.L.;;;;;;
AGENCIA INTERN.CCIO.S.L.;;;;;412,86;
AGHASA TURIS, S.A.;44,1;675,35;;;668,91;
AGROCEL COMERCIALIZADORA,S.L.;;505,92;;;580,24;
AKZO NOBEL COATINGS, S.L.;;4084,04;;433,74;2697,97;
AKZO NOBEL COATINGS, S.L.;165,86;;;270,68;;
ALAMBRES TERUEL, S.L.;;;;67,84;;
ALBERO FORTE COMPOSITE, S.L.;;;;;;
ALTADEX, S.A.;;;;69,81;;
ALTRAD PLETTAC IBERICA, S.L.;;;;;;
ALTUNA HNOS., S.A.;;;;65,03;;
ALYCO TOOLS, S.A.;;4685,97;;;1266,11;
AMBRO-SOL SPRAY SPAIN, S.L.;;642,92;;;1664,40;
AMILIBIA Y DE LA IGLESIA, S.A.;;318,44;;;1337,1;
ANCARGAS, S.L.;;;;;;
ANHUI HONGYU PACKAGING CO.LTD;;;;429,39;;
AQUACRAFT INDUSTRY CO., LTD.;;;;98,75;;
ARREGUI BUZONES Y SISTEMAS,S.L;;;;;15,42;
ASEIN COMERCIALIZACION 1983, S.L.;;200,36;;;678,28;
ASLAK MACHINES and TOOLS, SL;;47;;;59,62;
ASSOCIACIÓ COMARCAL URGELL D'AJUDA AL MINUSVÁLID;;;;;;
ASTIGARRAGA KIT LINE,S.L.;;;;;;
ASTURDINTEX COMERCIAL, S.L.;;;;;;
ATLANTIS INTERNACIONAL, SL;;;;;;
AUSAVIL 2, S.L.;;;;35,48;;
AYERBE INDUSTRIAL MOTORES,S.A.;;1864,42;;85,2;6612,17;
BARBOSA, S.L.U.;165,28;;;96,05;;
BARRACHINA INVER.Y SERV.,S.L.;;;;79,98;;
BELLOTA AGRISOLUTIONS, S.L.U.;;3045,92;;;7927,98;
BELLOTA HERRAMIENTAS,S.L.U.;178,28;7352,65;;287,36;21048,76;
BERLIN PACKAGING INDUSTRIAL IBERIA, S.L.U.;;;;149,84;;
BOJ OLANETA, S.L.U.;;;;35,94;;
BOMBAS METAL, S.L.;;;;;;
BRALO, S.A.;;891,32;;;659,2;
BROQUETAS, S.L.;;;;;;
BRUDER MANNESMANN WERK.,GMBH.;1,4;;;;;
BSH ELECTRODOMEST.ESPAÑA, S.A.;;;;;;
BTV, S.L.;;;;;;
BUIANI, S.R.L.;;;;;;
CABLES Y ESLINGAS, S.L.;;783,51;;;479,8;
CADENAS CIRO, S.L.;382,58;;;369,77;;
CAMACHO, S.A.;155,14;;;118,38;;
CAÑIZOS FAURA, S.L;;;;;;
CARRIVAN EUROPA, S.L.;;;;;;
CATRAL GARDEN&HOME DEPOT, S.A.;;;;;;
CELESA, S.A.;;;;;;
CENTRAL DE ENREJADOS, S.L.;;;;235,92;;
CENTRO LOGISTICO DE SOLDADURA SL;;;;3544,27;;
CEVIK, S.A.;;253,45;;;806,55;
CHAVES BILBAO, SL;;17457,90;;;2896,52;
CLIMACITY, S.L.;;;;;;
CODIVEN, S.L.;;;;;;
COFAN LA MANCHA S.A;;;;;398;
COMERCIAL EINHELL SA;159,59;160;;;;
COMERCIAL QUIMICA MASSO,S.A.;;;;102,97;;
CORCHOS ALMEIDA S.L;;;;;;
CORDELERIA ARTIBEL, S.L.;;493;;;353,5;
COREP LIGHTING;;;;;;
COVALDROPER, S.L.;;173,28;;62,56;209,4;
CRC INDUSTRIES EUROPE BV;;;;;;
CREARPLAST, S.L.;;;;85,45;;
CROTTON, S.A.;;637,01;;;181,22;
CUALITYS RODES, S.A.;;;;;;
CV TOOLS, S.L.;;926,81;;;1858,82;
DANTHERM GROUP SP, S.A.U.;;4773,77;;;7786,75;
DCU ADVANCE TECNOLOGIC, S.L.;;;;;;
DELTA PLUS, S.A.;;;;42,14;;
DIADORA,  S.P.A.;;148,5;;;160;
DIFUSORA ART.MECAN.ESPEC.,S.A.;;1549,11;;187,5;1651,39;
DISBUR, S.A.;;;;41,9;;
DIUTIL, S.L.;;;;;;
DOM-MCM, SA;;;;654,03;;
ELECTRODOMESTICOS DIVELSA,S.A.;;;9,5;;;503,95
ELECTRODOMESTICOS TAURUS, S.L.;;;;;;
ELEKTRO 3, S.C.C.L.;611,28;;;303,63;;
EMBALAJES LIMART SL;262,31;1281,6;;633,21;;
ESPIROFLEX, S.A.;100,93;;;918,88;;
ESSELTE, S.A.;26,1;;;149,06;;
ESSITY SPAIN, S.L. U;4753,58;;;6438,38;;
ESTAMPACIONES EBRO, S.L.;;829,96;;;1402,82;
ESTANTERIAS JOMASI, S.L.;;;;111,51;;
ESTANTERIAS SIMON, S.L.;;1871,79;;75,38;6203,85;
EURO BOTTARI 2002, S.L.;56,06;;;;;
EUROWELD LOGICTIC, S.A.;;;;;;
FAB.UTILES Y HERRAMT.NUSAC,S.L;81,18;;;470,73;;
FABRIC.MATERIAL ELECTRICO,S.A.;;1937,76;;;2017,06;
FABRICANTES MENAJE, S.A.;126,35;;;17,73;;
FAHER HERRAMIENTA INDUSTRIºAL S.L.U;;;;;4389,08;
FAHERMA, S.L.;;2178,27;;;158,83;
FECIN CEPILLERIA INDUSTL,S.L.;;383,8;;;169,7;
FEGEMU SB, S.L;;581,71;;48,06;564,01;
FERMAR, S.A;;;;;;
FERON EUROPE GROUP, SL;;;;;;
FERVE, S.A.;;;;457,95;;
FIJACIONES NORMA, S.A.U.;;102,9;;;;
FISCHER IBERICA, S.A.U.;22,55;1355,86;;;2460,06;
FITT ESPAÑA PORTUGAL, S.A.U.;;;;;3457,29;
FLORES CORTES DON BENITO, S.L.;;666;;216,44;647,7;
FOILFIX, SL;3768,03;;;;2790,78;
FREIXER Y COLLELL, S.A.;;;;;;
FUN AND GO 2035, SL;;;;;;
GALA GAR, S.L.;;;;;;
GARCIMA, S.L.;;;;107,22;;
GARHE, S.A.;;;;;;
GENERAL DE MEDICION, S.L.;;529,56;;23,62;311,18;
GENSINI S.R.L.;;;;;;
GERIMPORT, S.L.;;;;;;
GERMANS BOADA, S.A.;;1367,88;;29,5;1018,44;
GOIZPER S.COOP.;;1150,11;;;1798,87;
GOLDEN DAY INDUSTRY;;;;73,3;;
GROUPE SEB IBERICA, S.A.;;;;;;
GRUPODESA FASTENERS, S.A.U.;;918,36;;;2673,49;
GUANGZHOU TOPMAX ENT., LTD.;;;;;;
HAGEBAU GMBH & CO. KG;;;;;;
HENKEL IBERICA ,S.A.;;;;91,61;;
HENKEL IBERICA, S.A. INDUSTRIA;579,8;;;;;
HEPYC MANUFACTURING, S.A.U;;1572,52;;;2415,59;
HERTER INSTRUMENTS, S.L.;;;;;;
HEZE JINZHIYU WEB IND.CO.LTD.;;;;40,86;;
HILOS Y CUERDAS DEL SEGURA, SL;;;;140,86;;
HOZELOCK - EXEL SAS;;;;231,73;;
HUSQVARNA ESPAÑA, S.A.;;1785;;;;
IBERIA AGUA, S.L.;144;;;238,35;;
IFAM SEGURIDAD, S.L.U.;;882,48;;;706,38;
IMCOINSA 1985, S.L.;;;;;;
IMEX EL ZORRO, S.L.;52,75;;;54,11;;
IMPEX EUROPA, S.L.;168,56;;;168,56;;
INASIA GROUP LIMITED;;;;;;
IND STARTER ESPAÑA,  S.L.U;;;;84,76;;
IND. QUIM. CUADRADO, S.A.;161,89;;;220,45;;
INDUAL MOBILIARIO, S.L.;;;;;;
INDUSTRIAL PRECISION TOOLS, SL;83,2;691,75;;55,46;541,08;
INDUSTRIAL ZAPATERA,S.A.;362,54;;;365,06;;
INDUSTRIAS AZKOIN, S.L.;;;;;;
INDUSTRIAS FER, S.L.U;;;;;;
INDUSTRIAS IRIS, S.A.;;;;;;
INDUSTRIAS LOTU, S.A.;;;;;;
INDUSTRIAS MURTRA, S.A.;;513,24;;;1057,52;
