PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
;;;;;;
3M ESPAÑA, S.L.;979,6;;;846,03;;
4 GASA, SL;;;;2,01;;
A.RUBIO MALLAS METALICAS, S.L.;588,37;;;814,86;;
ACEROS SERECON S.L.;;;;;;
ACHA, HERRAM.DE PRECISION,S.L.;;;;38,36;;
ADG CAMPINGAZ;549,17;;;;;
ADVISORY CHEMICAL ADHESI.,S.L.;;;;;;
AGENCIA INTERN.CCIO.S.L.;;;;;520,16;
AGHASA TURIS, S.A.;73,52;2030,98;;29,83;1430,09;
AGROCEL COMERCIALIZADORA,S.L.;;977,99;;;789,64;
AKZO NOBEL COATINGS, S.L.;;4412,64;;581,82;4768,10;
AKZO NOBEL COATINGS, S.L.;393,44;;;351,88;;
ALAMBRES TERUEL, S.L.;;;;240,70;;
ALBERO FORTE COMPOSITE, S.L.;;;;;;
ALTADEX, S.A.;14,86;;;69,81;;
ALTRAD PLETTAC IBERICA, S.L.;;;;247,85;;
ALTUNA HNOS., S.A.;;;;65,03;;
ALYCO TOOLS, S.A.;;5119,25;;;2317,03;
AMBRO-SOL SPRAY SPAIN, S.L.;;1006,52;;;2004,21;
AMILIBIA Y DE LA IGLESIA, S.A.;;841,37;;74,22;1960,65;
ANCARGAS, S.L.;;;;;;
ANHUI HONGYU PACKAGING CO.LTD;;;;429,39;;
AQUACRAFT INDUSTRY CO., LTD.;;;;98,75;;
ARREGUI BUZONES Y SISTEMAS,S.L;67,98;;;37,91;15,42;
ASEIN COMERCIALIZACION 1983, S.L.;;200,36;;;678,28;
ASLAK MACHINES and TOOLS, SL;;47;;;421,12;
ASSOCIACIÓ COMARCAL URGELL D'AJUDA AL MINUSVÁLID;;;;;;
ASTIGARRAGA KIT LINE,S.L.;;;;;;
ASTURDINTEX COMERCIAL, S.L.;;;;;;
ATLANTIS INTERNACIONAL, SL;;;;;;
AUSAVIL 2, S.L.;;;;594,05;;
AYERBE INDUSTRIAL MOTORES,S.A.;;2843,01;;85,2;9582,09;
BARBOSA, S.L.U.;235,53;;;207,55;;
