PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
;;;;;;
3M ESPAÑA, S.L.;2198,83;;;2285,91;;
4 GASA, SL;;;;2,01;;
A.RUBIO MALLAS METALICAS, S.L.;849,87;;;1468,60;;
ACHA, HERRAM.DE PRECISION,S.L.;108,61;;;83,11;;
ADG CAMPINGAZ;648,19;;;35,15;;
AGENCIA INTERN.CCIO.S.L.;;;;;828,46;
AGHASA TURIS, S.A.;122,56;3598,94;;697,65;2137,67;
AGROCEL COMERCIALIZADORA,S.L.;;15823,39;;;14730,80;
AKZO NOBEL COATINGS, S.L.;;7972,07;;1363,65;6249,56;
AKZO NOBEL COATINGS, S.L.;791,61;;;818,93;;
ALAMBRES TERUEL, S.L.;220,11;;;240,70;;
ALTADEX, S.A.;14,86;;;140,90;;
ALTRAD PLETTAC IBERICA, S.L.;186,94;117,9;;743,55;;
ALTUNA HNOS., S.A.;;;;65,03;;
ALYCO TOOLS, S.A.;17,31;9336,67;;;4439,83;
AMBRO-SOL SPRAY SPAIN, S.L.;;3947,77;;28,38;5149,07;
AMILIBIA Y DE LA IGLESIA, S.A.;;1959,05;;123,53;3792,29;
ANCARGAS, S.L.;;;;179,69;;
ANHUI HONGYU PACKAGING CO.LTD;;;;1962,97;;
AQUACRAFT INDUSTRY CO., LTD.;;;;139,90;;
AREA GLOBAL AREA, SL;18,81;;;;;
ARREGUI BUZONES Y SISTEMAS,S.L;130,17;;;55,52;15,42;
ASEIN COMERCIALIZACION 1983, S.L.;;3062,03;;;4510,29;
ASLAK MACHINES and TOOLS, SL;;551,5;;;682,62;
ASTIGARRAGA KIT LINE,S.L.;162,74;;;149,19;;
ASTURDINTEX COMERCIAL, S.L.;;;;;;
ATLANTIS INTERNACIONAL, SL;;;;7,98;;
AUSAVIL 2, S.L.;8,79;56,78;;665,01;;
AYERBE INDUSTRIAL MOTORES,S.A.;;13939,96;;308,86;16673,96;
BARBOSA, S.L.U.;631,53;;;592,73;;
BARRACHINA INVER.Y SERV.,S.L.;;;;79,98;;
BELLOTA AGRISOLUTIONS, S.L.U.;;18982,78;;;27039,17;
BELLOTA HERRAMIENTAS,S.L.U.;1639,28;55478,49;;1582,90;64427,26;
BERLIN PACKAGING IBERIA S.L.U;125,15;;;;;
BERLIN PACKAGING INDUSTRIAL IBERIA, S.L.U.;43,89;;;457,47;;
BOJ OLANETA, S.L.U.;;;;35,94;;
BOSTIK, S.A.;73,22;;;;;
BRALO, S.A.;;2540,62;;;2062,91;
BRINOX, S.A.;25,38;;;;;
BROQUETAS, S.L.;91,38;;;;;
BRUDER MANNESMANN WERK.,GMBH.;4,9;;;;;
BTV, S.L.;;;;15,14;64,14;
BUENO HERMANOS, S.A.;;;109,21;;;
BUIANI, S.R.L.;;;;94,05;;
CABLES RCT,  S.A.U;168,06;;;;;
CABLES Y ESLINGAS, S.L.;;6750,03;;346,61;6342,29;
CADENAS CIRO, S.L.;382,58;;;789,05;;
CAMACHO, S.A.;709,33;;;611,46;;
CATRAL GARDEN&HOME DEPOT, S.A.;;2575,37;;;211,84;
CELESA, S.A.;;;;;;
