PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
;;;;;;
3M ESPAÑA, S.L.;2053,23;;;1633,79;;
4 GASA, SL;;;;2,01;;
A.RUBIO MALLAS METALICAS, S.L.;849,87;;;1468,60;;
ACHA, HERRAM.DE PRECISION,S.L.;108,61;;;83,11;;
ADG CAMPINGAZ;549,17;;;35,15;;
AGENCIA INTERN.CCIO.S.L.;;;;;828,46;
AGHASA TURIS, S.A.;122,56;3598,94;;653,23;2137,67;
AGROCEL COMERCIALIZADORA,S.L.;;5112,99;;;1444,45;
AKZO NOBEL COATINGS, S.L.;;7972,07;;1113,28;6249,56;
AKZO NOBEL COATINGS, S.L.;791,61;;;676,69;;
ALAMBRES TERUEL, S.L.;220,11;;;240,70;;
ALTADEX, S.A.;14,86;;;140,90;;
ALTRAD PLETTAC IBERICA, S.L.;186,94;117,9;;743,55;;
ALTUNA HNOS., S.A.;;;;65,03;;
ALYCO TOOLS, S.A.;17,31;8499,53;;;4439,83;
AMBRO-SOL SPRAY SPAIN, S.L.;;3370,73;;28,38;4747,15;
AMILIBIA Y DE LA IGLESIA, S.A.;;1584,33;;123,53;3008,73;
ANCARGAS, S.L.;;;;179,69;;
ANHUI HONGYU PACKAGING CO.LTD;;;;1962,97;;
AQUACRAFT INDUSTRY CO., LTD.;;;;139,90;;
AREA GLOBAL AREA, SL;18,81;;;;;
ARREGUI BUZONES Y SISTEMAS,S.L;67,98;;;28,96;15,42;
ASEIN COMERCIALIZACION 1983, S.L.;;2062,49;;;3685,23;
ASLAK MACHINES and TOOLS, SL;;551,5;;;682,62;
ASTIGARRAGA KIT LINE,S.L.;81,37;;;149,19;;
ASTURDINTEX COMERCIAL, S.L.;;;;;;
ATLANTIS INTERNACIONAL, SL;;;;7,98;;
AUSAVIL 2, S.L.;8,79;56,78;;665,01;;
AYERBE INDUSTRIAL MOTORES,S.A.;;13211,18;;308,86;16065,74;
BARBOSA, S.L.U.;523,95;;;453,35;;
BARRACHINA INVER.Y SERV.,S.L.;;;;79,98;;
BELLOTA AGRISOLUTIONS, S.L.U.;;14621,77;;;19716,28;
BELLOTA HERRAMIENTAS,S.L.U.;715,58;45493,94;;1467,36;51504,44;
BERLIN PACKAGING IBERIA S.L.U;125,15;;;;;
BERLIN PACKAGING INDUSTRIAL IBERIA, S.L.U.;8,31;;;301,53;;
BOJ OLANETA, S.L.U.;;;;35,94;;
BOSTIK, S.A.;73,22;;;;;
BRALO, S.A.;;2540,62;;;2062,91;
BRINOX, S.A.;25,38;;;;;
BROQUETAS, S.L.;48,64;;;;;
BRUDER MANNESMANN WERK.,GMBH.;4,9;;;;;
BTV, S.L.;;;;15,14;64,14;
BUENO HERMANOS, S.A.;;;109,21;;;
BUIANI, S.R.L.;;;;94,05;;
CABLES RCT,  S.A.U;168,06;;;;;
CABLES Y ESLINGAS, S.L.;;6599,10;;295,11;6342,29;
CADENAS CIRO, S.L.;382,58;;;789,05;;
CAMACHO, S.A.;709,33;;;483,30;;
CATRAL GARDEN&HOME DEPOT, S.A.;;2575,37;;;211,84;
CELESA, S.A.;;;;;;
CENTRAL DE ENREJADOS, S.L.;485,96;;;463,71;;
CENTRO LOGISTICO DE SOLDADURA SL;;;;6862,10;;
CEVIK, S.A.;122,48;1231,46;;;3106,95;
CHAVES BILBAO, SL;387,64;47674,21;;1780,42;18227,43;
CODIVEN, S.L.;67,08;;;425,93;;
COFAN LA MANCHA S.A;;184,3;;;629,13;
COMERCIAL EINHELL SA;785,71;688;;;1494,65;
COMERCIAL QUIMICA MASSO,S.A.;;;;166,08;;
CORCHOS ALMEIDA S.L;;;;;;
CORDELERIA ARTIBEL, S.L.;;1553,5;;;353,5;
COREP LIGHTING;;;;31,16;;
COVALDROPER, S.L.;;907,44;;62,56;1240,96;
CREARPLAST, S.L.;;;;;;
CROTTON, S.A.;56,28;952,77;;;690,91;
CUALITYS RODES, S.A.;;;;;;
CV TOOLS, S.L.;;7355,11;;;8254,31;
DANTHERM GROUP SP, S.A.U.;;4837,57;;;10648,09;
DCU ADVANCE TECNOLOGIC, S.L.;23,93;;;23,45;;
DELTA PLUS, S.A.;;;;42,14;;
DIADORA,  S.P.A.;;223,5;;49,91;352;
DIFUSORA ART.MECAN.ESPEC.,S.A.;225,9;9279,47;;311,15;11254,63;
DISBUR, S.A.;258,40;;;76,82;;
DOM-MCM, SA;861,10;;;1299,33;;
EGLO ESPAÑA ILUMINACION, S.L.;18,58;;;;;
ELECTRODOMESTICOS DIVELSA,S.A.;;;266,00;;;1033,84
ELECTRODOMESTICOS TAURUS, S.L.;42,73;;;41,93;;
ELEKTRO 3, S.C.C.L.;1206,42;363,36;;1346,86;;
EMBALAJES LIMART SL;443,86;3204,6;;1079,01;1505,88;
ESPIROFLEX, S.A.;477,18;1503,28;;2475,05;237,69;
ESSELTE, S.A.;763,97;;;890,36;;
ESSITY SPAIN, S.L. U;19074,97;;;18583,85;;
ESTAMPACIONES EBRO, S.L.;29,21;3915,45;;;4382,93;
ESTANTERIAS JOMASI, S.L.;92,64;;;111,51;;
ESTANTERIAS SIMON, S.L.;70,03;7286,59;;75,38;14705,83;
EURO BOTTARI 2002, S.L.;179,40;;;135,16;;
FAB.UTILES Y HERRAMT.NUSAC,S.L;294,71;;;868,78;;
