PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
;;;;;;
3M ESPAÑA, S.L.;2053,23;;;1633,79;;
4 GASA, SL;;;;2,01;;
A.RUBIO MALLAS METALICAS, S.L.;849,87;;;1468,60;;
ACHA, HERRAM.DE PRECISION,S.L.;91,47;;;83,11;;
ADG CAMPINGAZ;549,17;;;35,15;;
AGENCIA INTERN.CCIO.S.L.;;;;;828,46;
AGHASA TURIS, S.A.;122,56;2500,18;;621,72;2137,67;
AGROCEL COMERCIALIZADORA,S.L.;;3647,50;;;1444,45;
AKZO NOBEL COATINGS, S.L.;;7972,07;;1113,28;6249,56;
AKZO NOBEL COATINGS, S.L.;737,92;;;676,69;;
ALAMBRES TERUEL, S.L.;105,83;;;240,70;;
ALTADEX, S.A.;14,86;;;140,90;;
ALTRAD PLETTAC IBERICA, S.L.;186,94;117,9;;495,70;;
ALTUNA HNOS., S.A.;;;;65,03;;
ALYCO TOOLS, S.A.;17,31;7795,16;;;3683,49;
AMBRO-SOL SPRAY SPAIN, S.L.;;2251,27;;28,38;4213,23;
AMILIBIA Y DE LA IGLESIA, S.A.;;1365,17;;123,53;2762,12;
ANCARGAS, S.L.;;;;179,69;;
ANHUI HONGYU PACKAGING CO.LTD;;;;1962,97;;
AQUACRAFT INDUSTRY CO., LTD.;;;;139,90;;
AREA GLOBAL AREA, SL;18,81;;;;;
ARREGUI BUZONES Y SISTEMAS,S.L;67,98;;;28,96;15,42;
ASEIN COMERCIALIZACION 1983, S.L.;;200,36;;;1216,10;
ASLAK MACHINES and TOOLS, SL;;551,5;;;682,62;
ASTIGARRAGA KIT LINE,S.L.;81,37;;;108,5;;
ASTURDINTEX COMERCIAL, S.L.;;;;;;
ATLANTIS INTERNACIONAL, SL;;;;7,98;;
AUSAVIL 2, S.L.;8,79;56,78;;629,53;;
AYERBE INDUSTRIAL MOTORES,S.A.;;10803,32;;308,86;14118,31;
BARBOSA, S.L.U.;514,35;;;453,35;;
BARRACHINA INVER.Y SERV.,S.L.;;;;79,98;;
BELLOTA AGRISOLUTIONS, S.L.U.;;10367,37;;;18088,27;
BELLOTA HERRAMIENTAS,S.L.U.;521,19;36961,44;;1102,02;51033,84;
BERLIN PACKAGING IBERIA S.L.U;125,15;;;;;
BERLIN PACKAGING INDUSTRIAL IBERIA, S.L.U.;8,31;;;301,53;;
BOJ OLANETA, S.L.U.;;;;35,94;;
BOSTIK, S.A.;73,22;;;;;
BRALO, S.A.;;2422,32;;;2062,91;
BRINOX, S.A.;25,38;;;;;
BROQUETAS, S.L.;48,64;;;;;
BRUDER MANNESMANN WERK.,GMBH.;1,4;;;;;
BTV, S.L.;;;;15,14;64,14;
BUENO HERMANOS, S.A.;;;109,21;;;
BUIANI, S.R.L.;;;;94,05;;
CABLES RCT,  S.A.U;168,06;;;;;
CABLES Y ESLINGAS, S.L.;;5646,48;;295,11;6342,29;
CADENAS CIRO, S.L.;382,58;;;695,35;;
CAMACHO, S.A.;709,33;;;364,92;;
CATRAL GARDEN&HOME DEPOT, S.A.;;2575,37;;;211,84;
CELESA, S.A.;;;;;;
CENTRAL DE ENREJADOS, S.L.;242,98;;;463,71;;
CENTRO LOGISTICO DE SOLDADURA SL;;;;6862,10;;
CEVIK, S.A.;122,48;648,09;;;3106,95;
CHAVES BILBAO, SL;387,64;32685,36;;1780,42;14898,37;
CODIVEN, S.L.;;;;425,93;;
COFAN LA MANCHA S.A;;;;;629,13;
COMERCIAL EINHELL SA;785,71;552;;;1494,65;
COMERCIAL QUIMICA MASSO,S.A.;;;;123,50;;
CORCHOS ALMEIDA S.L;;;;;;
CORDELERIA ARTIBEL, S.L.;;1526,5;;;353,5;
COREP LIGHTING;;;;31,16;;
COVALDROPER, S.L.;;907,44;;62,56;880,02;
CREARPLAST, S.L.;;;;;;
CROTTON, S.A.;56,28;952,77;;;690,91;
CUALITYS RODES, S.A.;;;;;;
CV TOOLS, S.L.;;7190,81;;;7108,42;
DANTHERM GROUP SP, S.A.U.;;4837,57;;;10648,09;
DCU ADVANCE TECNOLOGIC, S.L.;11,73;;;23,45;;
DELTA PLUS, S.A.;;;;42,14;;
DIADORA,  S.P.A.;;223,5;;49,91;352;
DIFUSORA ART.MECAN.ESPEC.,S.A.;225,9;7548,17;;311,15;10404,08;
DISBUR, S.A.;258,40;;;76,82;;
DOM-MCM, SA;575,98;;;1267,56;;
EGLO ESPAÑA ILUMINACION, S.L.;18,58;;;;;
ELECTRODOMESTICOS DIVELSA,S.A.;;;240,52;;;1033,84
ELECTRODOMESTICOS TAURUS, S.L.;42,73;;;;;
ELEKTRO 3, S.C.C.L.;1206,42;;;987,28;;
EMBALAJES LIMART SL;443,86;3204,6;;939,16;1505,88;
ESPIROFLEX, S.A.;477,18;1503,28;;1896,22;237,69;
ESSELTE, S.A.;552,01;;;866,37;;
ESSITY SPAIN, S.L. U;14778,97;;;15195,33;;
ESTAMPACIONES EBRO, S.L.;29,21;3915,45;;;4382,93;
ESTANTERIAS JOMASI, S.L.;;;;111,51;;
ESTANTERIAS SIMON, S.L.;70,03;6212,47;;75,38;13165,06;
EURO BOTTARI 2002, S.L.;179,40;;;135,16;;
FAB.UTILES Y HERRAMT.NUSAC,S.L;284,14;;;868,78;;
FABRIC.MATERIAL ELECTRICO,S.A.;;4485,85;;89,71;6271,01;
